KMeans100-SciBert	KMeans130-BioBert	HierClust80-SciBert	HierClust100-BioBert	GMM_BioBert
19	78	46	46	23
27	78	60	60	50
8	108	16	7	3
70	78	38	8	6
70	78	12	17	3
80	78	12	17	3
78	78	13	98	6
7	108	11	25	40
34	78	7	53	21
19	78	0	21	3
19	86	26	5	3
8	86	17	1	3
70	108	37	37	3
70	86	0	21	90
19	78	46	46	3
96	108	35	35	49
70	78	54	54	49
76	78	6	31	22
59	78	6	31	3
59	108	69	69	65
50	108	14	34	65
70	108	54	54	63
73	78	31	15	82
59	78	23	85	3
32	108	76	76	6
40	78	7	91	6
26	108	6	31	12
73	78	71	71	82
70	78	31	15	49
59	78	55	27	6
34	108	9	4	63
70	78	71	71	3
50	108	5	20	49
59	78	55	27	12
78	108	32	3	22
70	78	5	20	82
70	108	5	20	49
70	108	5	20	49
96	108	5	20	12
24	78	22	22	65
70	78	39	39	3
70	78	42	42	3
70	78	39	39	3
70	78	42	42	3
73	108	69	69	65
70	108	32	3	82
89	78	35	35	82
78	78	35	35	22
26	108	6	31	12
49	78	1	81	21
73	108	69	69	6
70	108	12	17	6
70	108	12	17	3
59	108	67	67	65
70	78	39	39	82
89	78	12	17	6
34	78	9	4	49
70	108	12	17	6
59	78	55	27	49
59	108	39	39	65
66	78	3	30	22
74	108	33	33	21
89	108	33	33	59
94	108	33	33	59
52	108	15	51	49
34	108	54	54	3
89	78	72	72	34
49	78	50	50	22
96	108	48	11	49
8	11	21	10	3
59	78	25	99	3
70	108	67	67	49
49	78	1	81	49
89	78	1	81	34
59	78	5	84	49
80	78	42	42	49
75	78	1	81	49
24	78	1	81	49
59	78	10	78	3
59	78	25	99	3
89	78	42	42	3
73	78	71	71	82
70	78	13	98	65
89	101	9	4	49
59	39	26	5	49
28	78	50	50	21
12	78	50	50	49
79	108	14	96	59
79	108	14	96	59
94	108	14	96	59
49	108	72	72	21
89	108	72	72	63
89	78	9	4	63
34	108	9	4	49
34	108	9	4	63
89	78	33	33	49
34	78	7	53	21
34	11	7	53	63
59	78	31	15	3
76	78	6	92	65
79	78	15	48	6
79	78	4	43	6
70	108	5	20	49
79	108	14	96	6
50	78	14	96	6
79	108	34	16	49
59	78	6	31	22
34	108	9	4	49
98	78	79	79	49
70	108	69	69	6
50	108	7	91	12
61	78	22	22	50
50	78	14	34	61
34	78	9	4	49
26	108	6	31	12
49	78	1	81	21
73	108	69	69	6
38	78	42	42	49
59	78	55	27	12
75	78	23	47	3
75	78	23	47	49
75	11	23	47	3
19	86	23	47	28
96	78	35	35	56
70	78	38	8	22
70	78	38	8	40
8	86	38	8	34
19	11	38	8	34
70	78	12	44	49
70	11	38	8	22
70	78	12	17	6
19	108	38	8	40
70	108	12	17	49
70	78	12	17	49
70	108	38	8	6
70	78	38	8	22
70	78	38	8	22
70	78	67	67	3
70	108	0	21	3
