KMeans100-SciBert	KMeans130-BioBert	HierClust80-SciBert	HierClust100-BioBert	GMM_BioBert
73	22	16	93	82
73	22	29	29	82
38	71	6	16	65
73	22	55	97	65
32	71	56	13	6
20	22	73	36	74
47	95	13	55	50
21	71	23	5	25
20	71	35	35	3
80	71	5	90	82
20	71	25	25	86
73	22	34	34	3
8	71	49	49	25
7	22	57	57	56
8	22	57	57	56
96	71	19	9	49
96	22	69	69	49
96	71	21	21	34
26	22	28	96	38
23	71	33	33	33
23	22	7	42	82
28	22	47	23	28
2	71	70	70	82
79	22	40	40	27
74	71	41	83	65
23	22	7	64	73
37	22	0	80	50
38	22	70	70	57
75	71	45	22	80
2	71	13	44	27
98	71	43	87	40
98	22	31	7	40
73	22	50	24	27
13	71	1	81	75
98	22	75	75	41
9	22	27	17	57
2	71	70	70	27
74	22	41	83	65
61	71	9	15	28
82	71	16	27	47
73	22	29	29	82
20	71	73	36	74
82	71	9	15	47
5	22	45	22	3
77	22	59	59	3
73	22	64	31	82
73	22	35	35	86
89	22	14	12	82
88	22	40	40	6
0	71	40	40	6
79	64	40	40	6
79	22	40	40	6
3	71	23	5	25
73	22	74	74	27
64	71	15	58	3
42	22	45	22	80
27	71	17	1	50
74	71	6	41	82
24	22	28	47	90
61	22	77	77	28
73	22	29	29	27
96	22	19	9	49
98	22	27	17	40
1	71	7	42	57
7	22	24	11	49
86	71	54	54	49
88	71	40	40	27
75	71	45	22	80
66	71	1	14	21
73	71	36	3	82
73	22	64	31	3
26	71	31	7	90
73	52	29	29	82
59	71	68	68	49
59	71	52	52	49
20	71	33	33	86
75	22	13	55	6
82	71	1	81	47
96	71	48	48	21
96	71	19	9	22
26	22	31	7	90
50	22	40	40	42
15	22	39	39	5
73	71	22	10	27
57	22	50	24	82
27	71	17	1	50
42	22	45	22	80
22	22	69	69	48
31	22	69	69	23
8	71	71	71	56
82	71	42	20	56
12	71	21	21	34
7	71	9	15	56
44	71	6	16	82
75	71	9	15	3
79	71	68	68	49
20	52	25	25	49
49	71	10	45	21
64	71	6	16	50
34	22	44	89	42
37	22	36	3	72
1	71	27	94	27
98	71	58	28	65
20	22	75	75	91
9	22	27	17	57
64	71	6	16	50
34	22	44	89	42
37	22	36	3	50
1	71	27	94	27
98	71	58	28	65
20	22	75	75	91
85	22	39	39	90
70	71	31	7	6
24	71	8	0	49
73	22	55	97	82
98	22	62	62	66
98	22	43	87	22
80	71	64	31	82
73	71	36	3	82
73	22	34	34	3
70	71	31	7	6
26	71	30	30	49
66	22	1	14	21
3	71	50	24	27
75	71	13	55	25
41	22	33	33	11
16	71	40	40	20
0	95	53	53	6
19	71	45	22	80
31	71	16	27	19
75	71	71	71	56
96	71	42	20	56
7	71	57	57	48
7	71	57	57	56
20	22	1	14	21
12	22	1	81	23
82	71	1	81	56
20	71	1	14	56
96	71	9	15	56
96	22	19	9	22
26	71	38	38	49
73	22	29	29	82
64	71	22	10	15
96	71	54	54	49
21	71	22	10	82
45	71	67	67	82
3	71	50	24	33
38	22	0	50	27
64	71	67	67	50
73	22	33	33	25
73	71	64	31	27
68	71	70	70	82
74	71	50	24	27
69	95	6	41	82
27	71	49	49	50
47	71	0	80	50
65	71	65	65	51
66	71	21	21	82
7	22	24	11	49
20	71	25	25	86
98	22	62	62	40
24	22	28	96	90
83	71	18	18	28
89	22	24	11	49
49	71	21	21	21
68	22	13	55	49
98	22	8	0	64
10	71	28	47	49
98	71	16	93	82
2	71	70	70	82
37	22	36	3	50
34	71	58	28	57
5	71	45	22	80
12	71	1	14	21
73	71	36	3	82
73	22	64	31	3
26	71	31	7	90
98	22	43	87	40
31	71	16	27	19
7	22	69	69	48
96	71	42	20	56
96	71	42	20	56
7	22	57	57	48
49	71	21	21	7
12	71	1	14	21
96	71	1	14	49
12	71	1	14	49
73	22	26	26	82
89	22	72	72	22
73	71	35	35	82
41	22	27	17	80
73	22	44	89	82
27	71	59	59	3
74	22	26	26	27
79	22	32	32	3
26	22	38	38	19
73	22	14	12	82
29	113	39	39	34
3	22	15	58	33
49	71	1	14	21
98	71	1	81	49
26	71	72	72	64
50	71	54	54	57
37	22	29	29	27
37	71	50	24	27
98	22	8	0	64
89	22	58	28	57
7	22	24	11	28
73	22	34	34	82
73	22	35	35	86
10	22	27	17	57
37	71	50	24	27
80	71	14	12	82
3	71	49	49	82
3	71	15	58	33
49	71	21	21	84
70	71	52	52	82
75	71	50	24	27
70	22	58	28	3
96	71	32	32	50
65	95	65	65	51
70	22	31	7	82
22	71	9	91	49
96	22	9	15	49
96	22	42	20	56
20	22	35	35	86
0	22	53	53	30
75	22	2	82	1
73	22	14	12	82
73	22	29	29	3
49	22	21	21	7
73	22	14	12	82
73	22	29	29	3
49	22	21	21	7
84	71	69	69	56
98	22	39	39	90
8	71	23	5	25
73	22	74	74	27
19	52	22	10	25
20	71	25	25	86
68	22	13	55	27
65	71	65	65	51
88	71	32	32	6
47	71	49	49	27
42	22	45	22	80
49	71	10	45	20
98	8	4	86	66
26	71	31	7	90
61	22	18	18	28
12	71	1	14	82
13	71	1	81	49
7	71	57	57	56
96	22	42	20	49
56	22	1	81	49
86	22	1	81	49
12	71	1	81	49
24	22	28	96	90
49	71	21	21	7
18	71	78	78	50
98	22	4	4	40
75	71	49	49	25
3	71	50	24	27
73	22	64	31	27
73	71	22	10	27
59	22	52	52	50
28	22	18	18	28
12	71	48	48	75
12	22	48	48	49
75	71	9	91	49
12	71	48	48	21
75	71	64	31	3
20	71	42	20	56
20	71	73	36	86
75	71	22	10	25
82	71	9	15	56
49	22	71	71	64
49	71	21	21	21
61	22	9	15	49
58	22	61	61	44
89	71	16	27	57
22	22	9	91	6
86	22	57	57	48
89	22	18	18	28
86	22	18	18	48
86	22	18	18	48
86	95	18	18	6
86	71	18	18	48
