KMeans100-SciBert	KMeans130-BioBert	HierClust80-SciBert	HierClust100-BioBert	GMM_BioBert
1	22	42	20	27
70	22	4	45	49
59	71	32	7	3
78	52	70	70	22
50	22	14	15	90
75	71	18	18	90
80	22	39	9	49
19	71	57	57	3
70	71	8	8	49
70	22	75	75	82
73	71	39	9	3
89	71	3	0	50
15	22	28	13	5
96	71	10	54	56
70	71	71	71	3
24	22	67	67	64
75	71	52	25	82
70	71	26	49	82
1	22	48	48	22
75	71	44	21	6
47	71	52	25	59
75	22	41	41	40
96	71	21	1	49
5	71	31	98	40
80	71	31	98	82
73	22	42	20	3
20	71	11	89	82
26	71	37	37	90
98	22	54	26	90
89	22	60	60	49
79	22	30	6	49
73	71	73	73	19
43	71	51	51	12
75	22	47	47	1
80	71	18	18	90
85	22	2	19	43
15	22	53	2	5
89	22	3	0	49
21	71	52	25	82
70	22	5	42	6
73	71	76	76	82
70	22	59	59	6
15	22	53	2	5
98	22	41	41	40
50	22	40	4	57
1	22	48	48	22
80	22	12	88	90
98	71	31	52	82
98	22	8	8	10
13	71	44	21	75
98	22	8	8	22
98	22	8	8	40
70	71	31	98	3
19	71	31	98	25
15	22	45	10	5
73	22	39	9	82
24	22	18	18	49
70	71	22	92	82
96	71	21	1	56
24	22	24	24	64
4	22	23	23	77
98	22	8	8	82
96	22	21	1	49
85	22	2	40	43
98	22	54	26	38
51	71	13	5	7
80	22	38	38	3
26	71	20	32	21
79	22	30	6	49
59	71	3	0	50
80	71	19	22	90
70	71	47	47	82
85	22	22	14	22
85	22	2	40	43
98	22	77	77	90
85	22	22	92	82
50	71	68	68	22
80	22	25	12	49
70	22	5	42	64
59	64	71	71	3
96	71	21	1	22
12	71	27	27	75
15	22	53	2	5
26	71	0	53	65
73	22	16	16	82
1	22	39	9	82
3	22	16	16	33
27	71	16	16	50
7	71	10	54	56
73	22	38	38	3
39	71	10	54	48
98	22	68	68	42
73	22	16	16	57
98	71	8	8	6
74	71	16	16	6
88	71	44	21	6
75	22	39	9	82
70	71	22	92	6
26	22	12	58	6
80	71	12	58	3
73	22	42	20	82
15	22	45	10	5
85	22	2	40	43
98	22	77	77	90
59	22	15	81	3
70	22	4	83	3
73	71	73	73	19
43	71	25	12	21
75	22	47	47	1
24	71	24	24	64
26	22	67	67	64
85	22	2	19	43
21	71	52	25	82
70	22	5	42	6
73	71	76	76	82
70	22	59	59	6
75	71	44	21	6
50	22	68	68	6
50	71	10	87	21
4	22	37	37	76
98	22	12	88	90
26	22	24	24	19
51	22	61	61	90
50	22	36	36	42
15	22	45	10	5
19	22	15	97	3
12	71	27	27	49
96	22	27	27	49
70	71	57	57	49
75	71	52	25	3
75	22	52	25	82
85	22	55	55	22
70	71	19	90	90
12	22	44	21	21
70	71	71	71	3
19	71	18	18	40
24	71	5	42	6
80	71	39	9	25
89	22	4	45	65
80	71	39	9	25
79	22	4	45	65
59	22	15	81	3
50	22	36	36	42
15	22	45	10	5
58	22	6	93	58
80	71	33	33	3
70	71	51	51	49
19	71	52	25	6
85	22	2	19	43
26	71	24	24	21
26	22	67	67	64
49	71	67	67	64
70	22	59	59	6
70	71	65	65	3
75	71	65	65	3
75	71	65	65	3
26	22	24	24	19
51	22	61	61	90
50	22	36	36	42
15	22	45	10	5
19	22	15	97	3
8	71	27	27	3
8	71	27	27	3
70	71	4	45	3
75	71	52	25	3
75	22	52	25	82
85	22	55	55	22
70	71	19	90	90
70	71	71	71	3
19	71	18	18	40
24	71	5	42	6
26	71	0	53	65
26	22	24	24	19
50	22	36	36	42
15	22	45	10	5
73	71	16	16	27
57	22	16	16	82
27	71	52	25	50
62	71	17	17	70
50	22	68	68	49
12	22	27	27	49
8	71	27	27	23
8	71	10	54	23
82	71	10	54	56
12	71	66	66	34
82	71	10	54	56
79	71	57	57	49
20	52	16	16	49
49	71	66	66	21
42	22	39	9	80
18	22	44	21	12
68	71	6	3	15
38	22	7	30	15
80	71	31	98	3
15	22	45	10	5
70	71	32	7	3
21	71	16	16	82
89	22	60	60	25
70	71	57	57	49
89	64	3	0	6
89	22	60	60	49
70	71	4	83	65
43	71	73	73	12
24	71	24	24	64
26	22	67	67	64
85	22	2	19	43
15	22	45	10	5
89	64	3	0	6
21	71	52	25	82
70	22	5	42	6
73	71	76	76	82
70	22	59	59	6
12	71	25	12	21
70	22	47	47	82
80	22	9	39	49
70	71	3	0	6
26	71	0	80	49
19	22	41	41	40
19	22	15	97	3
70	71	57	57	90
80	71	33	33	90
12	71	27	27	49
85	22	2	19	43
51	22	37	37	76
73	71	42	20	82
50	22	68	68	22
15	22	45	10	5
1	71	42	20	82
98	8	68	68	90
85	113	48	48	49
73	71	38	38	3
70	71	65	65	3
12	71	1	64	49
73	22	42	20	82
5	22	64	31	40
80	71	19	22	90
51	22	61	61	90
24	22	54	26	90
19	22	41	41	40
19	71	15	97	3
70	22	32	7	3
98	22	40	4	6
7	22	1	82	48
70	22	6	3	3
49	71	24	24	64
89	22	60	60	25
70	71	32	7	82
12	71	27	27	49
70	22	33	33	40
85	22	2	19	43
51	22	37	37	90
89	22	60	60	25
70	71	32	7	82
12	71	27	27	49
70	22	33	33	40
85	22	2	19	43
51	22	37	37	90
15	22	53	2	5
75	22	41	41	40
19	22	38	38	3
12	22	1	64	56
19	71	18	18	25
70	22	32	7	49
98	22	8	8	22
70	71	35	35	40
75	71	78	78	1
12	71	44	21	49
75	71	44	21	3
75	71	19	90	90
26	22	22	92	6
1	22	42	20	82
14	22	41	41	40
59	22	4	45	65
89	64	71	71	49
4	71	23	23	76
12	71	62	62	56
89	71	35	35	40
26	22	22	92	19
80	71	19	22	90
1	22	9	39	57
15	22	45	10	5
59	71	3	0	50
18	22	40	4	6
85	22	2	40	49
82	71	10	87	21
15	22	45	10	5
73	22	42	20	27
59	71	4	45	65
85	22	2	40	43
73	71	52	25	82
1	71	39	9	82
70	22	4	83	3
12	71	62	62	56
4	22	37	37	76
73	71	42	20	82
15	22	45	10	5
43	22	64	31	40
70	22	26	11	6
24	71	18	18	90
32	71	52	25	3
59	71	3	0	6
59	22	51	51	49
70	22	51	51	49
43	71	73	73	12
75	71	78	78	65
89	22	60	60	49
15	22	8	8	40
51	71	13	5	90
89	22	60	60	49
51	22	13	5	90
80	22	38	38	3
70	22	4	45	3
5	22	53	2	40
51	71	13	5	90
73	22	15	81	27
70	22	4	45	3
21	22	32	7	3
18	71	40	4	6
70	22	5	42	6
80	22	19	22	90
7	22	1	82	49
73	22	42	20	82
98	22	8	8	22
36	71	11	44	6
89	22	60	60	49
70	22	32	7	3
51	22	37	37	90
98	22	33	33	3
89	22	14	15	19
73	22	38	38	3
59	71	3	0	50
70	22	51	51	49
49	22	51	51	49
75	71	52	25	3
49	71	66	66	49
15	22	53	2	5
75	71	19	90	3
80	71	18	18	90
89	22	6	3	6
70	71	35	35	22
4	71	37	37	76
1	22	9	39	57
15	22	45	10	5
59	71	3	0	50
18	22	40	4	6
85	22	2	40	49
82	71	10	87	21
15	22	28	13	5
73	22	38	38	82
80	71	16	16	27
80	71	25	12	82
96	71	25	12	82
80	71	31	98	27
59	71	4	45	65
80	52	19	90	90
12	71	27	27	49
1	22	9	39	57
80	22	77	77	90
12	71	62	62	75
73	22	42	20	27
73	71	11	44	82
32	71	40	4	49
85	22	26	11	90
26	22	20	32	49
15	22	45	10	5
73	22	42	20	82
7	22	1	82	56
73	71	73	73	65
89	22	60	60	25
80	22	19	22	90
51	22	37	37	90
79	22	30	6	49
7	22	1	82	56
96	71	21	1	48
73	71	58	28	82
70	22	57	57	3
70	22	26	11	6
80	22	19	22	64
85	22	22	14	43
73	71	58	28	82
70	71	57	57	49
70	22	26	11	6
80	22	19	22	64
85	22	22	14	43
15	22	31	98	3
70	71	19	90	40
49	71	27	27	3
15	22	28	13	5
32	71	51	51	49
85	22	2	40	43
24	71	18	18	90
70	22	6	3	82
73	71	16	16	82
55	22	42	20	27
73	22	16	16	27
38	22	16	16	13
70	71	6	3	6
3	71	16	16	27
61	22	10	54	28
41	22	11	89	11
16	71	17	17	20
46	71	10	54	6
18	71	6	3	50
70	71	57	57	49
73	22	42	20	82
18	22	40	4	6
59	71	3	84	6
7	22	1	82	48
26	71	0	53	65
73	22	16	16	82
64	71	16	16	50
7	22	1	82	48
82	71	10	54	21
73	22	42	20	82
39	52	62	62	6
24	22	19	90	90
98	22	8	8	66
15	22	45	10	22
70	22	38	38	3
12	71	62	62	75
78	71	35	35	3
98	22	77	77	90
51	71	61	61	90
26	71	20	32	49
51	22	61	61	90
80	71	32	7	3
51	22	12	58	90
89	71	5	42	6
80	71	19	90	90
18	71	66	66	50
96	71	27	27	21
96	71	10	54	56
80	71	52	25	82
24	71	78	78	1
24	71	24	24	40
80	22	15	81	3
70	71	32	7	3
59	71	32	7	3
43	71	25	12	82
49	22	66	66	34
51	22	13	5	90
75	71	47	47	6
89	22	15	97	27
70	71	32	7	82
21	71	16	16	82
80	52	52	25	82
75	71	19	90	90
51	71	37	37	76
12	22	20	32	49
19	22	41	41	40
80	71	33	33	90
70	71	6	3	40
51	22	37	37	90
15	22	8	8	22
8	22	15	97	3
32	71	40	4	6
70	22	51	51	49
12	71	27	27	56
70	71	31	98	3
85	22	2	40	43
26	71	19	22	90
12	22	27	27	49
19	22	15	97	3
70	22	32	7	3
75	71	44	21	40
13	22	44	21	40
24	22	18	18	90
26	52	24	24	49
70	22	60	60	25
80	22	15	81	3
70	71	51	51	3
59	71	3	0	50
15	22	45	10	5
12	22	27	27	56
96	22	10	87	49
75	22	41	41	40
75	71	52	25	3
75	71	52	25	49
21	71	16	16	82
70	71	22	92	6
24	22	18	18	90
19	71	18	18	40
51	71	61	61	77
51	22	56	56	90
51	22	61	61	90
94	22	17	17	3
94	22	17	17	22
73	22	42	20	82
15	22	53	2	5
98	22	68	68	90
85	22	2	40	43
50	22	36	36	42
59	22	32	7	3
80	22	12	88	90
49	71	27	27	3
50	22	36	36	42
50	22	64	31	40
15	22	45	10	5
98	22	55	55	22
85	22	2	40	43
80	22	39	9	3
70	71	32	7	3
75	22	15	81	3
21	71	16	16	82
59	71	3	0	50
70	71	47	47	6
79	22	8	8	21
19	71	52	25	82
64	71	16	16	50
73	22	34	34	3
7	22	1	82	56
12	71	27	27	56
49	71	39	9	82
12	22	1	64	49
13	22	44	21	40
86	71	10	54	48
70	71	19	22	90
4	22	56	56	90
15	22	53	2	5
19	52	34	34	3
32	71	40	4	49
98	22	19	90	90
24	71	66	66	49
70	22	22	14	3
51	71	56	56	76
70	71	33	33	40
89	22	20	32	7
73	22	42	20	82
98	22	8	8	22
26	22	13	5	77
43	71	64	31	40
85	22	22	14	43
1	22	42	20	82
18	22	40	4	6
3	22	9	86	82
15	22	45	10	5
12	71	1	64	56
73	22	42	20	82
73	22	9	86	82
4	71	13	95	76
98	71	68	68	66
50	22	9	39	6
50	22	36	36	42
15	22	45	10	5
70	22	32	7	3
49	71	27	27	3
73	71	38	38	82
89	22	60	60	49
34	71	30	6	49
49	22	20	32	7
15	22	45	10	5
73	22	42	20	82
79	71	30	6	49
70	22	19	22	90
12	71	1	64	56
73	22	38	38	82
70	22	60	60	49
70	71	32	7	3
98	22	33	33	3
80	71	19	22	90
4	71	56	56	76
15	22	45	10	5
78	52	48	48	65
73	71	58	28	82
96	22	62	62	56
50	22	36	36	42
15	22	53	2	5
89	22	60	60	25
70	22	4	83	3
80	71	19	22	90
85	22	26	11	6
4	71	37	37	76
70	22	48	48	49
50	22	36	36	42
15	22	45	10	5
98	71	33	33	3
