,NCT#,phase,condition,sponsor,start_date,mesh_list,criterion,Ground_Truth
0,NCT01650441,Phase 2,Asthma,"University Hospital, Antwerp",10-Feb-15,Asthma,Inability to carry out pulmonary function testing,0.0
1,NCT02162784,Phase 2,Asthma,Intech Biopharm Ltd.,10-Feb-15,Asthma,Inability to carry out pulmonary function testing;,0.0
2,NCT02740543,Phase 2,Asthma,NYU Langone Health,10-Feb-15,Asthma,Inability to perform lung function or other maneuvers,0.0
3,NCT02227394,Phase 2,Asthma;Asthma Chronic;Asthma Bronchial;Asthmatic,Zambon SpA,10-Feb-15,Asthma,Patient unable to perform pulmonary function testing,0.0
4,NCT00465413,Phase 2,Asthma,Mackay Memorial Hospital,10-Feb-15,,poor performance of pulmonary function testing. ,0.0
5,NCT00394654,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,"Acute illnesses or evidence of clinically significant active infection, such as fever ³",1.0
6,NCT00983658,Phase 2,Asthma,"Genentech, Inc.",10-Feb-15,Asthma;Airway Obstruction,Acute infection (including viral infection) within the 6 weeks preceding dosing (8 weeks for respiratory infections) or any ongoing chronic infection,1.0
7,NCT01563029,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Culture-documented or suspected bacterial or viral infection,1.0
8,NCT01573767,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Culture-documented or suspected bacterial or viral infection,1.0
9,NCT00634036,Phase 2,Asthma,Fernando Holguin,10-Feb-15,Asthma,"Current/active upper respiratory infection (if active URI, wait until asymptomatic for 1 week to enroll)",1.0
10,NCT00787644,Phase 2,Asthma;Obesity,University of Vermont,10-Feb-15,Asthma,"Current/active upper respiratory infection (if active URI, wait until asymptomatic for 1 week to enroll)",1.0
11,NCT04643158,Phase 2,Asthma,AstraZeneca,10-Feb-15,Asthma;Respiratory Aspiration,Diagnosis of / suspected COVID-19 infection with associated pneumonia / pneumonitis.,1.0
12,NCT01123252,Phase 2,Seasonal Affective Rhinitis;Asthma;Grass Allergy,University of East Anglia,10-Feb-15,"Rhinitis;Rhinitis, Allergic;Rhinitis, Allergic, Seasonal",Documented evidence of acute or significant chronic sinusitis,1.0
13,NCT00768079,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,"Evidence of clinically significant non-respiratory active infection, including ongoing chronic infection",1.0
14,NCT00278083,Phase 2,Asthma,Imperial College London,10-Feb-15,Asthma,Have a chronic or recurrent infectious disease,1.0
15,NCT04150341,Phase 2,Asthma,Theravance Biopharma,10-Feb-15,Asthma,"Have a current bacterial, parasitic, fungal or viral infection",1.0
16,NCT00278083,Phase 2,Asthma,Imperial College London,10-Feb-15,Asthma,"Have a history of chronic cough, haemoptysis, weight loss, or pyrexia considered suggestive of possible current tuberculosis infection",1.0
17,NCT00278083,Phase 2,Asthma,Imperial College London,10-Feb-15,Asthma,Have a history of opportunistic infections,1.0
18,NCT04589663,Phase 2,Asthma,Novartis Pharmaceuticals,10-Feb-15,Asthma,"History of active bacterial, viral or fungal infection (including SARS-CoV-2) within 6 weeks of first treatment visit (Day 1)",1.0
19,NCT01196039,Phase 2,Asthma,"Genentech, Inc.",10-Feb-15,Asthma;Airway Obstruction,History of recurrent bacterial infection as an adult or history or presence of any chronic infectious condition,1.0
20,NCT00983658,Phase 2,Asthma,"Genentech, Inc.",10-Feb-15,Asthma;Airway Obstruction,"History of recurrent bacterial infection as an adult or history or presence of any chronic infectious condition, including (but not limited to), tuberculosis, parasitic infection, etc.",1.0
21,NCT00697801,Phase 2,Asthma,Allergan,10-Feb-15,Asthma,History suggestive (or diagnosis) of other concomitant lung disease. ,1.0
22,NCT03207243,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Ongoing or recurrent infections requiring systemic antibiotics. ,1.0
23,NCT00278083,Phase 2,Asthma,Imperial College London,10-Feb-15,Asthma,Patients with current active tuberculosis (TB) or atypical mycobacterial infection or a previous history of these infections,1.0
24,NCT01704495,Phase 2,Asthma,AstraZeneca,10-Feb-15,Asthma,"Patients with recurrent, latent, or chronic infections",1.0
25,NCT02087644,Phase 2,Asthma,Cytos Biotechnology AG,10-Feb-15,Asthma,Presence of active infectious disease as judged by the investigator,1.0
26,NCT03532490,Phase 2,Asthma;Obesity,Johns Hopkins University,10-Feb-15,Asthma,> 0 time use of cannabis in the past 12 months,2.0
27,NCT03532490,Phase 2,Asthma;Obesity,Johns Hopkins University,10-Feb-15,Asthma,> 0 time use of illicit drugs in the past 12 months,2.0
28,NCT04129931,Phase 2,Asthma,"University of North Carolina, Chapel Hill",10-Feb-15,Asthma,1 use of marijuana per day for 1 year,2.0
29,NCT01400906,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,a history of regular alcohol consumption within 6 months of the screening visit,2.0
30,NCT00452400,Phase 2,"Pulmonary Disease, Chronic Obstructive;Asthma",Boehringer Ingelheim,10-Feb-15,"Pulmonary Disease, Chronic Obstructive",a history of significant alcohol or drug abuse,2.0
31,NCT03707678,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,A history of substance abuse including alcohol.,2.0
32,NCT02833974,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,A positive pre-study drug/alcohol screen,2.0
33,NCT01366521,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,A positive pre-study drug/alcohol test at screening.,2.0
34,NCT01743768,Phase 2,Asthma,Sterna Biologicals GmbH & Co. KG,10-Feb-15,Asthma,Abuse of alcohol or drugs,2.0
35,NCT00686335,Phase 2,Asthma,"Horizon Pharma Ireland, Ltd., Dublin Ireland",10-Feb-15,Asthma,Alcohol or drug abuse,2.0
36,NCT00557700,Phase 2,Asthma,"University Hospital, Ghent",10-Feb-15,Asthma,Alcohol or drug abuse.,2.0
37,NCT01955512,Phase 2,Asthma,University of Southampton,10-Feb-15,Asthma,Alcohol or recreational drug abuse,2.0
38,NCT01641692,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Alcohol or substance abuse history,2.0
39,NCT01573624,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Any subject with a history of alcohol or substance abuse,2.0
40,NCT01650441,Phase 2,Asthma,"University Hospital, Antwerp",10-Feb-15,Asthma,Current alcohol or drug abuse,2.0
41,NCT00995800,Phase 2,Asthma,Mundipharma Research Limited,10-Feb-15,Asthma;Inflammation,Current evidence or history of alcohol and/or substance abuse within 12 months prior to the screening visit,2.0
